ID,feature_vector
17745,"{-0.2934226561566573,0.4545545608940797,1.1310815239891228,-0.5082387266167001,1.0756836879850815,0.5705734498894522,1.6848404944341482,-1.0756374900881438,0.1035343044458348,1.8485848906470883}"
17746,"{-0.9411026656363018,0.4598015610282545,1.1822069803064204,0.7433225387102562,-0.6184680947507345,-0.1314117702091911,-1.471952880172067,-0.1885796545577608,-0.0119415176183677,-0.2269428623128976}"
17747,"{0.4264396260496759,-0.2757095614040634,1.8825151649533904,-0.6296743576998999,1.0562077222290098,0.3785552440228977,1.4463090426955951,0.5147458444561696,0.1586159653037181,-1.2534722617533016}"
17748,"{-0.263852190432609,-1.6086893898772794,1.0038612735405943,1.0705835278328413,1.5285882098322483,1.8764977722055436,-0.6715992475730657,-0.4754704961482914,2.094776478419008,-1.8123803767088755}"
17749,"{1.014608749098434,-0.0290711913557961,1.8117832671444931,0.4157238683534718,0.7705638247538708,-1.0428428612825378,0.7288637615777794,-0.6967569663990621,-0.9898790673224868,1.1847323680560824}"
17750,"{-1.18266770367397,0.9596973043791986,0.0003269069087206,-0.0116527805565665,-1.3964476672625157,-0.3929387778811158,-0.2024941825271155,-1.019320985768444,-0.7989157648027055,-0.6035019617370915}"
17751,"{1.5986757659229995,0.0457181101367179,-0.4226760832208904,-0.5037004526195311,0.4526461009480733,-0.198349270066744,-0.4950992486968769,-0.0528096157212168,1.2871547877484832,1.5720589811342884}"
17752,"{-1.6677434155559812,-1.1355262740939496,0.5794462165291833,0.7072188810123438,-1.0402376057102165,0.2105966538605772,-0.125372873539598,0.8932081483505024,-0.0164204117110073,1.1744298832674565}"
17753,"{-1.9941461138766052,0.660495595955863,-0.0986880343438829,-0.0537855022118385,-2.1854091203364105,-2.2353626682221224,1.4318929280304469,1.1543252307414218,0.6082375718578262,-0.0750575515947055}"
17754,"{2.052476848772516,0.3713581525511097,0.0291397754111908,0.0415343935240159,0.2815258707817828,1.3782615626919963,-1.1837995085462782,0.2178482982163907,0.573636783189022,-0.6884341842377436}"
17755,"{-1.0396253179887085,0.3905550682107004,1.906823689324372,0.0827901687025127,-0.6853494877190502,0.7611879784406115,1.051696919522329,-0.7110460427119808,0.4876356792144837,0.7410677581683144}"
17756,"{-1.7610538625003058,-0.9640375098513486,-0.7564360995821559,1.040735342817814,-0.6966267763613093,1.5666260304178234,-0.8628190574602292,0.1260688839458343,0.3610930585138642,-0.1775200184595156}"
17757,"{-0.2542633603863524,-0.3789224432276979,0.3441066961409503,-0.5760554864912973,0.2840420901338025,-1.1320018289805234,-2.162134821219162,0.4149386320293456,1.2857248068216132,0.9532327737827876}"
17758,"{0.091280569110597,0.3809330274713081,-1.2421677113126397,0.2785311666623333,-1.7757370304848683,-0.444323708273671,-0.9058100226283788,0.0472335829311891,0.2147461509287416,-2.1288368192109317}"
17759,"{0.794723684405941,0.2889967843827169,-1.2106802036494844,0.6928749263224785,1.080809161703817,-0.857231123387429,0.2559783362862607,0.4202750369827561,0.1550531584764865,1.0525214651194716}"
17760,"{-0.6127051344366844,1.3199355882273416,0.76571443633321,-0.3242648934547819,1.0212020713049614,0.9162747827721042,-0.3954150407355999,-0.7930418302794693,-1.7771443081245415,-1.6036655524045351}"
17761,"{0.3024881246804192,-0.8512183924679336,-0.9567582985586304,1.0588646267868096,-1.2464432373140166,0.8722878497570962,-0.388380841134359,0.8871223006619682,-0.437664333122919,1.121087545405262}"
17762,"{1.6679897224297933,-0.1503026728902723,0.9907258242636864,1.3072417076839875,0.1833319180400938,0.7188076629150083,0.2172118686946551,-1.7951020522229282,2.6849545423245456,-1.1508943821097617}"
17763,"{-2.066529490778972,0.4291195148761405,-0.914555090748982,2.35915431890673,0.749800977438193,-0.1660008049733409,-0.0964498153674403,-0.6462828773324865,-0.0120102923006406,0.2420634407213755}"
17764,"{-0.0167022116103117,-1.5418424551699623,1.6424329088450775,-0.4837283537162142,-1.4126938902002315,-0.2252603125716322,-0.8365247734782484,-1.1997809371503236,0.0650442018108515,-1.5957606652251366}"
17765,"{0.3762024298886945,0.189741337946152,0.2516670821481828,-1.7039191487991805,-0.0508759297052952,-0.2744172067465014,2.073060939106603,-0.0927479095009571,-0.7704854456747054,-0.8192165003681403}"
17766,"{0.4618133208413086,0.4059595869189343,-0.1478324633780251,1.0809696388280012,-1.4868628268669308,0.7024005335913129,-0.8111766801373946,0.1268197966394266,1.263435514798653,0.6974168019882448}"
17767,"{0.1239722877732718,-0.1445860987434029,2.0701602884094275,0.8434586064692624,-0.0871513687289184,-0.8231026162007367,0.3272465524159682,-1.7504171851680344,-0.0369937517324097,0.0690778177889409}"
17768,"{1.629822835639396,-0.3416686438781485,0.3067260385875108,0.1017943400342194,2.673438145830582,-0.2891646686803986,0.07430115057717,-1.0130520688900526,0.4408748334077997,1.0965856814733093}"
17769,"{1.2299154017785483,-0.2214878435064283,0.8745753598973666,-1.7179598393759326,-1.669162529956172,-1.4695159756487548,0.442045050377333,-1.5619963130915806,0.9043969137125036,0.311427966379971}"
17770,"{0.2546274464074235,-2.687548208744037,0.9053422786839675,1.0804008957101356,1.6023459076643152,-0.1775017890623322,0.824622757828124,-0.95011442697235,-0.149543496542144,-1.928378133493176}"
17771,"{-1.3984451270524578,-0.7325002234989663,0.4892715925033667,0.8550530491765501,-1.1712734944233467,-0.9829475717420102,-0.0315455136360148,1.7849345581904168,-0.7647245151605211,-1.1816934425910035}"
17772,"{1.0612138197492345,-0.3115148534050274,-0.4887047921008726,0.4421404663865308,0.0598121550998585,-0.4439226794126767,0.5729113463342517,-0.4290582961540374,-0.8287897305303306,-1.1105020956457543}"
17773,"{-0.3887082807626301,-0.4869398228385885,-0.5352985500673051,-1.9796474185257529,-0.1730929767711904,1.30116664731265,-1.6061366549278548,-1.7383164192724847,-0.3159136392227348,-0.338814880922424}"
17774,"{0.6749067225355445,-0.8145748160865196,0.3685789789177591,-0.5360359912346103,0.4666257787693704,-0.8679477458781263,3.177203464122928,0.0326536833379913,1.1225740223718188,1.9601435197249}"
17775,"{-1.5180356703320068,1.1947492658837704,-1.226436336673927,-1.71247228089414,0.2420206411444295,-0.0826374263501671,-2.2602631355283225,1.5136652855039563,0.8991349102968814,0.824766162818357}"
17776,"{-1.0734156196142233,0.9944579316042292,-1.3761812178123234,-0.2315830373249119,0.6630247544588813,0.8173815058204698,1.1336741551669285,0.2779620981131607,0.5248750931944682,0.1980565326717455}"
17777,"{0.0762121869306325,-0.3678796871774891,-0.7714055166586518,-0.3243499373604562,0.5860260827658761,-0.3538863392057832,-0.2462986546062035,-0.4553950634105734,-0.7124728822484467,0.3510320452107078}"
17778,"{-0.0742882195638596,-0.5075092682866953,-0.4445133297003188,0.1839394806516766,-1.1463019269796872,1.4212489494581846,-1.4836501100484776,-0.0402617014841021,0.4219784493926657,1.626597209744999}"
17779,"{-0.5236483923101394,-0.6146217868139308,-0.4697334829290405,-2.051914504768042,-0.6518979939252706,-0.2222554151698191,-0.662401657126113,-0.3601508138585376,-0.1955130705304323,-0.3791089332420989}"
17780,"{-1.6337697969908838,-0.8261275415977343,-0.3507836839683329,-1.1687202733391762,0.0033369607155318,0.903909550995892,-2.001305445903641,0.2934167786769536,-0.5921770663824719,1.877705190823025}"
17781,"{0.931973364153324,-1.5110408745814816,0.7322157897691829,-0.1721294003614363,1.0277135688407857,1.247882634521549,0.9035024687320392,-0.3566915603510306,-1.0844651764055986,0.9376258570705592}"
17782,"{0.2485379099683302,-0.2019711244450028,-0.3577079183196802,-0.6948121177919596,0.7714068354448916,0.3902353886724664,-0.7556517670532314,-0.9235937817677308,-1.3403241388531255,0.9633517657350618}"
17783,"{-0.326193264715415,0.4004351556008344,1.5076268903839944,1.3285743419345306,1.157855693847425,1.060448237104444,-0.1514136984004555,0.6562392966512658,-0.4853070543527239,-1.042142327983927}"
17784,"{0.6501855247956007,1.7828763220505237,0.4134363251093758,1.276046361807958,0.8723068465470426,-0.0966315210844778,-1.7653544540680663,1.294742520050999,0.4109284048424405,0.9881615178917916}"
17785,"{0.2200998986543275,-0.460622315843242,-1.0922720544968894,-0.7920384464252844,0.4566686460453797,-1.1197770671367508,-0.4190446033721876,-0.1824023966566144,-1.0464637977418438,-0.9163959159774636}"
17786,"{1.4385280733677452,-1.3785121964018228,1.0346978033865248,1.835342535481632,-0.7224129295471047,0.1071523791909664,-0.6094553315370999,0.7145741871234661,-0.4733167624390295,2.1010449250050884}"
17787,"{0.5036528980615411,0.7232549943679853,1.0259533854431662,0.0527438106588345,0.6695493507345677,1.0618146262327532,-1.0406887399358755,-0.5775998898387306,-1.8343335070287752,0.2943981032694346}"
17788,"{-0.4137380774845673,-1.2321218033066992,0.4914768876440698,0.3341672350780938,2.126746594527569,1.680926914457714,0.1203516698529516,1.2695638792917063,1.495890028633431,-0.0033021029708121}"
17789,"{-1.3232058403699465,-1.0834243393217,-1.2044647278903111,-1.286361123219565,0.8385895651868103,0.7292330418245534,1.0136343902200158,0.3801961289765809,-0.9068561055088648,1.628480907447141}"
17790,"{1.066261724554132,-0.17539918131592,0.6372634677319338,-0.0709163958104559,-0.3825736359486834,0.7445242005474294,0.5960990786920097,0.2134620394717613,1.1561945253528132,-1.4793117869806072}"
17791,"{0.9660599996892906,0.4213287510561281,-0.3405880795976478,-1.0381329796446863,-1.083105810160688,0.3014306548941714,0.4511085065529069,-1.003743518287447,-0.0064743397342568,0.7617854416349622}"
17792,"{-1.8517756354904813,2.073396711484404,-0.1928778085850261,0.2660616913375754,0.042267152775044,0.9598880107096924,0.3847742898919286,-0.341479026033736,0.2801049586507389,1.3468641518801308}"
17793,"{0.5069925406397158,-0.2046819732843683,-1.24102188048369,-1.9703242728912551,-1.1857778244162624,-0.465594530364782,0.6022025818940104,-0.5723932168281183,1.2490439029550715,1.4557231905995285}"
17794,"{-0.1976916809081522,-1.6692311165285734,1.1958973417565468,-1.0477360667076512,1.5595117093286714,0.2948564790687558,-0.0499240891072614,-0.8940142665209486,0.5968253514220639,0.6639256756030727}"
17795,"{-0.913439086924462,-2.16243694065237,-0.6032985965907668,-1.3608369724921034,1.5937755299538074,-0.1845931466975719,-1.0415842866553489,1.020248447306225,0.4756035166530565,0.6988063085589474}"
17796,"{0.0269536268448447,0.3349752409706729,1.9325191447768235,-1.176288868967435,0.3869109226947256,1.6014295021442937,0.8892338717133179,-1.6484129235593803,0.0646309761386865,1.9573724341460077}"
17797,"{-1.522054856352938,0.7805109119715856,0.0665709041851604,0.4082839344711191,-0.5193456273983489,-1.1653532624222545,-1.7021980510611987,0.5036972413439432,-0.7920446268067604,0.5493948462838285}"
17798,"{-0.4650927603995889,-0.9876694012697164,-0.1721890044619689,1.3069843853882763,-0.207385640054955,1.1670566083245977,0.3476046739385099,0.8364212564227582,-1.0879916645674257,1.495178009090942}"
17799,"{0.4473347476561591,-0.0118783996000153,-0.9395866792793408,-2.65531333647718,1.110258732665085,0.4245107912075249,-0.7687270243578979,0.2595224078561536,-0.7324838125567001,-1.1812906330709576}"
17800,"{-1.2897275442352685,-1.831102858923538,1.1293232986212902,-0.1975981306878521,-0.5713342444364536,-0.5714564935523732,-1.3304011657981965,0.5183086023468518,-1.7364699326730075,-1.0515164853196262}"
17801,"{0.4985200660307829,-0.90993200672997,0.392806426925324,-1.330862932259682,-1.2080099898975334,-0.5840933686285332,0.7942076677411707,0.9850704727073658,0.5098053736570246,0.9978599463040924}"
17802,"{0.1546451497088357,-0.0633042258746328,0.820677963000859,-0.6009989924607488,-0.7678407592267146,-1.2437057749777194,1.5895004922281004,-1.2269314975322343,-0.1574455015702286,-0.7903214353023895}"
17803,"{0.3698949796526325,1.144453441189669,-0.894961669263632,0.2650892854410211,-0.3401727331823349,1.7140246211226595,1.2988886487241351,1.148954017867583,0.6583375962966643,-2.6068799589356484}"
17804,"{0.3747013242764146,-1.604978605482286,1.2062423977929797,0.1517461654769606,-1.1176047735361403,0.5217553141879615,-0.561165269275673,-1.531682211998987,1.6416069714353876,0.3115133685753923}"
17805,"{-1.7761978255078543,0.4882153986692529,-1.0600904722508948,0.5867848194297831,0.8379759881966515,-0.0286195823100349,-0.9469863571726664,-0.1187298627856079,1.647849253812752,-0.3725374481232518}"
17806,"{1.777166296353459,-0.0205947957112783,1.4634971229974425,1.5814950696730885,-0.945297683421979,-1.566687459225918,-0.3365219136510939,-0.1605186678051095,0.6599972611996686,1.0354158355699343}"
17807,"{-0.7374103635920698,1.1137532236199328,-0.6090513304608701,0.8171446999735031,0.171753187698152,-1.212996154266483,0.370690910386757,0.557670005126297,-0.1943773911668698,0.4487294266565553}"
17808,"{0.5764288298275673,0.3497529167788203,-0.192056020056268,0.6572485087105226,1.0482267117392028,-0.1850720256958924,-1.2478164200073791,-0.099588994916219,1.7304786570402604,0.5146062124520667}"
17809,"{-0.738076132774659,-1.8571451509538868,1.9646611973196535,-1.0982321235263464,0.5225271520302711,-1.3265142071973302,0.6527322636385297,-0.4952317000643078,0.0378573602597384,0.0946456403997477}"
17810,"{1.0123057614959297,-0.4362689761827074,1.7735794030113547,-0.8587825935080343,2.993228984236298,1.0139181186725754,0.0841764592759969,-0.3433825456413487,0.6593189852814605,0.6193137522311943}"
17811,"{1.5851266522698,0.2980023403230264,-1.5340667482643044,-1.0110825501526417,-1.3670359460517327,-0.2492134861449522,-0.3244344154948861,-0.7135877937150494,0.4362722922725656,0.0800671839524091}"
17812,"{0.5741913942760316,1.3861287723392546,-0.3394064344425451,0.2068897932490183,0.7072347918432975,-0.7138865931094487,1.4116116341581464,-0.3896780929364664,1.258074647459208,0.4402360042902972}"
17813,"{-1.6618463579955518,0.7513599682019436,-0.1051479716996411,1.0155488184560757,-2.2102669110636217,0.908627173655413,1.0737735449041923,-0.7465770448908028,0.7567464488490113,1.709091946300356}"
17814,"{-0.8498234744248624,-0.942624851912072,0.971082460487278,0.9812926619351988,-0.6301670701697155,0.5929371061421425,-0.5709905520646603,0.2468966179273192,-0.936760746793476,0.596628946972096}"
17815,"{-1.3224353327331706,-0.987378772084184,-0.863904307398934,-0.7948081598845754,0.3142901124807282,0.1942163629999954,1.285209535354598,0.2107197182795933,0.2770544234862813,-0.6137539816259114}"
17816,"{1.0790050497766432,-0.7037529212211855,0.2695212985563368,0.3764432467219219,0.8263494532319637,1.3939968537444318,0.1183551838384888,0.3265915358728421,1.097893788752233,-0.744279156345294}"
17817,"{0.6940504692260946,-1.6315854174069406,-0.639421297230712,0.8056052022866651,-0.2320825290104318,0.4188891641858842,0.3008225397615356,1.0707571208762017,-1.038854990871278,-0.6229211790129553}"
17818,"{-0.1650208100682868,-0.2883216540481411,-0.3904115773187589,0.3308526803833382,1.2740848015156725,-0.5734642450629409,0.2815331602798063,0.5923084446435759,-2.2091291696726163,1.2512724327739355}"
17819,"{0.6070613040297336,-0.909899847778865,-0.3569395398065247,0.9820315567796672,-1.301676874306514,-1.342063886414634,-0.0967274974146607,1.0756431495964056,-0.503797404885373,1.2691335528819774}"
17820,"{-0.2980886267098699,-0.1956380685633954,0.9752415294205284,0.2160439686037944,0.290841696003552,0.806080403455478,-0.383193754220137,0.1195159399432198,-1.2463217275826852,0.6529303131164791}"
17821,"{0.3556509367513797,0.2295999474989377,-0.97467607789984,1.4483292924665256,-0.8150058103341107,-0.0333467549501354,0.2287778551785801,0.8320434057860706,-1.4114913532458886,0.604237952008095}"
17822,"{0.7447415633891585,0.4904677531719038,-0.0705406918702165,0.957542802636948,0.3190974444173866,1.2777168018264526,-1.378755291661129,-1.7847674764015922,-0.0124823227756262,0.6106628515997022}"
17823,"{-0.183165340504484,-0.7727329573929572,-1.382754269090335,1.2745624185439166,-0.4043915743002974,-0.4458830034726255,-0.8801522141880903,-0.1994961369157435,-0.7335149760179687,-1.4933148342341371}"
17824,"{-1.4387092545738396,1.586666875453976,0.355671232222859,-0.4834168531409955,0.3941841093119105,-0.6712068290279509,-0.0187474274432338,-1.8056081172871392,-0.4612796681120623,-1.4479194026530189}"
17825,"{1.0056812204263237,0.5740525063943241,-0.031462947444943,-1.7346691774727736,-0.3087748035931209,-1.0927619547255547,0.448513438444917,-1.1717088837705285,-0.6678584579374506,0.0139851249040394}"
17826,"{-1.5991312751530624,-0.6260732852284939,0.0613705605963776,0.2486228993657503,-1.0452989722278925,0.3505254278869729,0.7542722080862032,-0.6157310852636353,1.4061864651406033,-1.7363139891363395}"
17827,"{0.4003221949227727,-1.797496497807041,-0.3796325105584316,0.4639956928647135,-0.3026967857415106,0.1242250899380491,-0.4660693565629848,1.0580890136403525,0.8741652587581845,0.0428478087397148}"
17828,"{1.7468278659428944,-0.7533465764111461,0.8673927039645581,0.1613916916508384,0.1559652434346154,0.5028606694725614,-0.1569731185859743,-2.2715122613159298,0.0565762254835505,1.4512859189505738}"
17829,"{0.6567346278459208,1.7333169765782872,-2.214786151680761,1.816193834210498,1.6602649696344551,-1.4862652538404315,0.014475251182447,0.2117004805041782,1.4122227552652258,0.5503390313365845}"
17830,"{-0.9305119439110008,-1.1382192646760625,0.210128739277663,1.128927351262204,-0.091961619492338,-0.92647827049107,-0.3789307923140865,-0.9030568101349682,-0.7080497766321175,0.370630286409406}"
17831,"{0.3622032041692205,-0.080689507165669,-1.918109979307685,-0.5225519092181667,2.1453111628456982,-0.8356396752140589,0.4248205837227419,0.3473105169698686,-0.4810047778844505,0.1351857381852662}"
17832,"{-0.3666852691149146,0.4311978162992241,-0.4686226315533263,-0.6191820147718103,-0.0672505920079713,0.6864826952348764,1.9740170576869185,-0.1354421041089741,0.0067039279444194,-1.3336941738121642}"
17833,"{-0.4800839520587086,1.4724347878420465,0.6578713738566094,1.2441311236760282,-0.2386354608906223,1.532919222918083,3.0650643186210798,0.8975522575257417,-0.639845556253519,0.0250037674476234}"
17834,"{0.5385418379069753,0.857992788218207,0.0589905658133829,-0.8875362609240455,0.7827439211192105,0.3975515464906609,-0.9988918075944228,0.164065473229834,-2.5894538815447645,0.4303525227170394}"
17835,"{0.787045331650419,-0.023724117915382,-1.0925968930337937,1.0011517693218557,0.0298899562595244,1.121559735104949,-0.4989726279182191,-1.430401575665096,-1.8390782844214293,-0.1966118943634475}"
17836,"{-0.9588743167151412,-2.400407630128233,0.8918206651934149,-1.2291311121261053,-0.1594145805374926,0.1129272670312817,-1.4427972355293437,-0.0553892279695685,0.0448691945112609,-0.2444332857967331}"
17837,"{-0.9361148189600454,-0.8088069116110959,-1.5465463718078072,-1.4079778225971695,-0.359614397597883,1.16878042456595,-0.7776660751358291,-0.2716059566531964,-0.2516458872345353,1.112209102601584}"
17838,"{0.612616497885256,-0.6428351042161352,0.3500963915652581,-0.3271400562723719,1.4144492425757542,0.7953429785538894,-0.1401203503136693,0.4385614818577314,-0.0413679779056007,0.8898669996348583}"
17839,"{-0.5964555028777229,-0.5864284269773298,0.7593855407244506,1.235211222575912,0.4607206694795639,1.9646475104778305,0.0223715530094885,0.7371191184238713,-0.6153208504031846,-0.0919366208731302}"
17840,"{-0.755295216073639,1.1769100450010372,0.4948261370437243,1.282725595981023,1.244919615869314,-0.466778148352563,2.6064932593426637,-0.3814590245185881,0.061030344182654,-1.6628995732679477}"
17841,"{-1.5187259590555937,2.135738759894208,0.2447713114861444,1.7845806125126478,1.3401085054626558,-0.5578660093402174,-1.32688870462808,-1.6015749613834824,-0.4839876968267725,-0.5544592340486184}"
17842,"{1.0275507330714624,-0.5185905120030854,0.2663617535230641,-0.220465591580491,-0.7693128585615284,-0.0279559589594296,0.629517159956178,-0.7707781390991499,-0.7769784801479082,0.0910525722012265}"
17843,"{1.0270040981495774,1.7907339809500444,-0.5427115811335677,0.4567876350490049,-0.602920466904738,1.2077369649900216,0.4771269560048249,0.0571712629473133,0.0446079903599441,-0.0242841337816494}"
17844,"{-0.2569062550278319,-1.0815287882349032,0.8209726371971477,-0.0395798172943866,-1.1223015809006325,0.4956947560121569,0.8289995763791732,-1.1284376600502306,-0.6046542756706162,-0.599086470701389}"
17845,"{-1.3847868851061576,-1.093496414898686,1.6283736719542434,0.4554808838396378,-0.6802131811144883,-0.7338892117158066,-0.4590495021721916,-1.0034852925814954,0.6540025940484862,-2.233005674591644}"
17846,"{1.478232438459908,0.7741628332986082,0.6941620256538689,1.7391684668124112,0.0937346498760228,-1.5144803669166098,-0.5381417159019241,0.3108280062763739,1.5848008935192448,0.3172082559960408}"
17847,"{1.005844840618894,2.05011714516048,-0.9397233957938737,0.2904063281843312,-1.0997625711859924,1.2053150641321615,0.5463247500743841,-1.2779860196837964,-0.8470155924635686,1.871535874160548}"
17848,"{0.941062562785618,-2.492563241203688,0.3444324164380403,1.668028360288079,0.194064942449113,-0.1812857914715531,1.558375335037896,0.0629786107788658,1.5364107112951588,-0.0080116836434849}"
17849,"{1.788933025233516,0.1244216609739618,-0.1645785681344889,-0.5725909121156461,0.0917109712080067,0.1788459034507231,2.6234392419495767,1.0637849756378368,0.5051540407682678,-1.4535101999252689}"
17850,"{0.8331953921542158,1.571004209633948,-1.0085587414832928,0.8581087848113609,-1.0273189159041514,0.0512111558891166,0.2754963891114871,-1.2118537709556212,-0.5423745355535301,-1.0757971129111907}"
17851,"{0.8862688211089718,0.252772317775125,0.644446982931111,1.7208122514089053,-0.4591024989116364,1.24692571202915,-1.0686998467001114,1.6461927144397186,0.6152172970487695,1.025597465773485}"
17852,"{1.844495184211522,-0.0965118183208689,0.6825121498610962,0.7294180820017871,-0.6731716105565514,-1.0940228479815064,-0.5249240927116161,-1.2209792048519887,-1.2023165517798295,0.2869130570673475}"
17853,"{0.4659801279373294,1.2137687474256806,0.3829281998634425,0.3164842764886245,-1.7825555187584454,-0.5723643226937339,0.2791105643600839,-1.5267546273786674,-0.0243783738827264,-0.7115120336650227}"
17854,"{1.0507528020325334,0.8920443773478546,0.8996212456653916,0.7337601464811436,1.169529966217291,2.109088853143676,-0.0918695044717252,-0.6771395084543208,0.1497422561914923,-0.2792857020169478}"
17855,"{-0.4073730045250295,-0.5346719308401335,-1.1997531023900303,-0.2494081216818278,0.0416322678681595,-1.2234972016930084,0.0068675228252443,-1.183954212900501,-0.1529257000617087,-1.8966539557326147}"
17856,"{-1.4224962702891792,-0.5367586267032284,1.295973185880337,-1.3000916921333536,0.5060518220620535,-0.8776861127164453,-1.1402340357808791,0.5266882869368466,-0.3098681518759613,-0.153814036778614}"
17857,"{0.7891995816783792,-0.8377098428807215,-0.3399538959753423,0.4745290368058721,-0.1473737915157461,-0.0211545620427814,1.8967351789379423,-0.8718477675762168,-0.7030893362443164,0.9047787864082584}"
17858,"{-1.156558380610113,0.0437452432793401,-1.0127483039567702,0.8791248075351058,0.3296466130358591,0.2390263718696649,0.8287382642542108,-0.3287349378280841,0.7479867809079425,2.112523581765654}"
17859,"{-0.5628964055980041,-0.1978035625986943,0.4598007339982536,-0.1402090321850966,-0.7749813006591634,1.2374826088736477,-0.0780179718789956,1.0243079996053444,-0.385428464829896,-1.5833621688867536}"
17860,"{-2.557450636588011,-0.3184549034460264,-2.0597963744592023,-1.9349483221109949,0.5894188477860905,1.4301823523025323,1.633877838142861,1.682895908019159,-1.4102941186418672,1.116871782797251}"
17861,"{-0.141716203283604,-0.3019422296969057,-0.4824955230817011,-2.101150717978135,-1.197258727549822,1.6870744474836452,-0.3446144362015362,-0.0757478154772804,0.4085535610202616,-0.1447908510785862}"
17862,"{-0.89495343683911,-0.3056256267380456,1.350635042851787,-1.0053899323433269,0.4174113124842754,-0.9399756103393038,0.8477644583135812,0.0353029487042701,0.2113549340883687,0.6008699721743374}"
17863,"{-0.3792608644768679,0.5267829461257375,2.5550850247168024,1.228055655396363,-2.307049230993535,-1.9809169119301209,0.2622707682384572,-0.1708176317747361,1.4600001146387789,1.2042274821416057}"
17864,"{-0.6036370689808682,0.4658319104516463,-0.0031084593340385,0.6981962895106032,-1.2970474527195903,0.5396860412685469,0.8995708623831498,0.3923104773290039,-1.5338603819892056,-0.6739224434069585}"
17865,"{-1.7823730723277047,1.528414068051893,0.6199056106566708,-0.4873292959322217,0.7007438919004481,-1.2862881228493637,0.6585071109180193,-0.6252441002483216,-1.6597319573022349,0.8607168556208801}"
17866,"{-0.0263245691703683,0.5101069875486146,-0.2521307307165089,1.578997765389165,-1.2890389723608435,2.119734204495672,-1.348623817339174,0.0345319051415019,0.8880269109185865,1.4154222544046475}"
17867,"{-0.159061198414071,0.1068215564722208,1.2205331436834574,1.8197735798213144,-0.8741084516397989,-0.4835999796990556,2.123031309253512,1.5044808059951298,0.2328267066527807,1.4197711468301952}"
17868,"{-1.2965704414352974,-0.1155006587582974,0.5517541712019608,-0.4125052933862341,2.290416101198883,1.5695367948504428,-0.0466098778482333,1.2969302023196874,1.2339711469185186,0.0950029178108283}"
17869,"{1.5560663497108826,-0.7481737861599614,-2.282474172707083,-1.3661094236454223,0.0770305261784231,-0.3907965695258463,-1.6775195456591878,0.7196536159213948,-1.3431692956900037,0.6937568022554584}"
17870,"{-2.366959278385325,0.6724091625689814,0.1083934591036924,-0.7539692694958464,1.4825125716312686,0.5065720952360315,0.5364711947219997,0.8716081135309723,-1.6797423677507326,-1.5930257701782633}"
17871,"{0.080560023608632,0.3136315371226184,0.2881655991285875,-1.6804916030761512,-0.2868418896381829,-2.3411439805500565,-1.4979010241577986,0.5283750293332358,1.6886225484539323,-1.2909246561444718}"
17872,"{-0.3113870620442706,0.08871919602733,-0.9405603986748816,0.2686866160606075,-0.3790791429504049,-0.2222051477420346,0.0946708900614534,0.8317224508065932,1.2425755179474267,-3.503790153266638}"
17873,"{0.0170690212873905,1.8109184084709735,0.4083038470413409,1.2248371357354304,-0.2801345463894967,-1.8149931203189829,-0.3453503808896919,-1.6512019970813934,-0.3531795992065032,-0.4456664266055329}"
17874,"{0.8017800833109896,-1.537941307927699,-4.137231620807687,2.0215552849433385,0.1104112025570761,1.493579347825795,0.2071493789099604,-0.2825236755960538,0.5068949475500335,-0.6723344744345783}"
17875,"{-0.386941427123995,-1.6824432199594972,2.7616005147968945,0.5821351147776427,-0.1563356343167055,0.3657897991835983,-1.1560842685381385,-0.6808769693566141,0.9375874441593766,0.6077721055164963}"
17876,"{0.6478701203765652,-0.1346052349833324,0.5193355320716846,-0.9591063353876864,0.06785587780947,-0.2114021021498283,0.7318560148036387,0.3612861006286764,0.4193645437852455,0.2680768565478478}"
17877,"{0.7715232336754858,0.7474887761929211,1.4449228321012306,-1.8414814814322331,-0.7680785227853985,-2.823576562121137,-0.9362365140650116,-0.4637750317153327,-1.43117934439276,2.271881401880985}"
17878,"{0.1432649908697382,0.6676065238101275,-0.471674282801504,-1.9126048101526851,0.2105645355254471,0.922506231698378,-1.5352591118243777,-0.3724163597827123,-1.0862012899446156,0.455535031439751}"
17879,"{-0.5190789037682203,-2.4258390688934943,-0.0997583392024019,0.7695159866497209,2.536741341738884,-1.1683557193165532,0.2132270893576577,-1.4294115740823663,0.1953202931031908,0.3435402742004715}"
17880,"{0.4179284217145197,-0.4574171135147968,-1.5394497217612717,-2.4713966635891254,-1.2680513378414795,-0.091348907834092,0.6530514050136612,0.6238711332675275,1.6702308257283698,1.7451839749813838}"
17881,"{-0.3188102338359281,1.0305691058089166,1.3860510147970988,-2.173295730299927,-0.0748896972018215,-1.915080262849553,-0.0797642221605372,-0.0240944779916884,-0.7308351033883066,-0.643621011058128}"
17882,"{1.6934760139536291,1.4227361652385282,0.774764659222221,0.2346565149002883,-0.6892532210888428,0.3922765063245558,-0.5376618005831546,-0.6167485688837747,0.5393505570187125,-0.6926561228930381}"
17883,"{0.1857353053114085,0.4036180814962897,-0.340085734874375,1.3847373784681922,-1.379358480267531,-0.4511271845158477,1.0664447243697102,-0.0208938018271335,0.3884283169701022,0.3215454715384651}"
